source_id,ra,dec,pmra,pmdec,parallax_error,phot_g_n_obs,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2057336927319284864,304.7763981746154,35.39299704530594,NULL,NULL,NULL,85,21.020334,NULL,NULL
2057338129917983872,304.9169452086583,35.4535402524223,NULL,NULL,NULL,0,NULL,NULL,19.764439
2057339298141239296,304.85261370434597,35.50342970203379,NULL,NULL,NULL,91,20.752981,NULL,NULL
2057340260215494016,304.7057686642379,35.435881072654155,NULL,NULL,NULL,51,21.115646,NULL,19.614046
2057340500732168064,304.71095570364406,35.45577199385022,NULL,NULL,NULL,38,20.986898,NULL,NULL
2057340844331294720,304.7538723198791,35.48866792370096,NULL,NULL,NULL,90,20.922783,NULL,NULL
2057342493596975232,304.7971857557459,35.5395705062338,NULL,NULL,NULL,71,20.945923,NULL,NULL
2057342768475758336,304.77659579862836,35.556217973198265,NULL,NULL,NULL,0,NULL,NULL,19.754852
2057343867987185280,304.7349853794298,35.60999481298343,NULL,NULL,NULL,95,20.456932,NULL,NULL
2057352114324060032,305.00527728367433,35.79078462549933,NULL,NULL,NULL,72,19.48899,NULL,NULL
2057352183043526528,305.03286548427315,35.80206309148823,NULL,NULL,NULL,66,21.060226,NULL,NULL
2057352217403277056,305.0079333566933,35.803274319996376,NULL,NULL,NULL,62,21.00771,NULL,NULL
2057352664087708928,304.9184823544157,35.78416675962458,NULL,NULL,NULL,0,NULL,NULL,19.524374
2057354278988122880,304.6422248187467,35.587404259676305,NULL,NULL,NULL,69,20.965952,NULL,19.827166
2057354588225080320,304.58795693335236,35.590452150880196,NULL,NULL,NULL,146,20.882881,NULL,NULL
2057357474443695360,304.7446641395081,35.738115537971375,NULL,NULL,NULL,38,21.085203,NULL,NULL
2057361047856951296,304.6790864697627,35.81018733857622,NULL,NULL,NULL,57,20.962183,NULL,NULL
2057363968434728448,304.82236021321256,35.80473172056961,NULL,NULL,NULL,0,NULL,NULL,19.719303
2057364724349356416,304.85330034357514,35.822266599600866,NULL,NULL,NULL,39,21.128832,NULL,NULL
2057367988524176256,304.65852791372777,35.861461014361716,NULL,NULL,NULL,42,21.07055,NULL,20.244442
2057370015755617536,304.78130747143734,35.95809068741802,NULL,NULL,NULL,0,NULL,NULL,19.56235
2057370393706006784,304.7567855338601,35.99991385715831,NULL,NULL,NULL,84,20.93896,NULL,NULL
2057370943461978240,304.81002262275535,36.04056055678987,NULL,NULL,NULL,0,NULL,NULL,20.100952
2057371282764871552,304.09012889172953,35.35919430268098,NULL,NULL,NULL,0,NULL,NULL,19.585989
2057371424505641600,304.11060766275233,35.38622335219064,NULL,NULL,NULL,52,21.00175,21.060694,19.582026
2057375444588438784,304.0029495876032,35.430073860956384,NULL,NULL,NULL,53,20.980654,NULL,NULL
2057376303589407744,304.03619728215784,35.50510914725331,NULL,NULL,NULL,70,21.005802,NULL,19.351254
2057376578460808064,303.97521365186293,35.48966160800213,NULL,NULL,NULL,0,NULL,NULL,20.286327
2057377128215755520,304.0087277653849,35.54001166521045,NULL,NULL,NULL,51,21.071613,NULL,NULL
2057377196941695360,304.0495687473258,35.54587849425887,NULL,NULL,NULL,124,19.753527,NULL,NULL
2057377987209073280,304.09990698792564,35.55054705977069,NULL,NULL,NULL,76,21.022211,NULL,19.597923
2057378193369411584,304.13370288975017,35.56213530081717,NULL,NULL,NULL,0,NULL,NULL,19.760399
2057378292151986688,304.1778398422496,35.58961383440259,NULL,NULL,NULL,69,21.064726,NULL,NULL
2057378433885658624,304.14041114477914,35.591536731098564,NULL,NULL,NULL,127,20.487286,NULL,NULL
2057378708764531328,304.0758581276759,35.56684649166388,NULL,NULL,NULL,0,NULL,NULL,19.715664
2057379636476646144,304.10160487393364,35.65369420053625,NULL,NULL,NULL,49,20.457054,NULL,NULL
2057382694495072640,304.4478318780304,35.69027956344973,NULL,NULL,NULL,0,NULL,NULL,20.365955
2057383622208010880,304.36506218027785,35.69966317755463,NULL,NULL,NULL,70,20.990303,NULL,NULL
2057385649432500992,304.12849201962115,35.69564668360658,NULL,NULL,NULL,0,NULL,NULL,19.582191
2057385958669300736,304.21028472019543,35.71971992586487,NULL,NULL,NULL,0,NULL,NULL,19.657299
2057386886383445760,304.27249232468154,35.76807238166616,NULL,NULL,NULL,70,21.11667,NULL,NULL
2057387298699053440,304.2947918689611,35.78706054810512,NULL,NULL,NULL,54,21.048117,NULL,NULL
2057387573577006464,304.2407313979382,35.76199431704812,NULL,NULL,NULL,0,NULL,NULL,19.1254
2057387814095998080,304.2018521710972,35.77007816295902,NULL,NULL,NULL,0,NULL,NULL,19.677574
2057388020253595776,304.2687208177977,35.78654565330354,NULL,NULL,NULL,38,21.15526,NULL,NULL
2057391073974931712,303.99746023033333,35.64060789216334,NULL,NULL,NULL,0,NULL,NULL,19.42502
2057391868549984000,303.9684035896309,35.660566745351396,NULL,NULL,NULL,49,20.241753,NULL,NULL
2057392143428834304,303.9489734677876,35.66802477595621,NULL,NULL,NULL,63,21.046253,NULL,NULL
